Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
24_1	24_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24287569.0	3.6 Gbp	0.0	150.0	51.0	54.303838301276194	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
24_2	24_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24287569.0	3.6 Gbp	0.0	150.0	52.0	44.399529522380554	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
2_1	2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24086461.0	3.6 Gbp	0.0	150.0	51.0	49.00460973098375	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
2_2	2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24086461.0	3.6 Gbp	0.0	150.0	52.0	42.742906088165796	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
3_1	3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24136782.0	3.6 Gbp	0.0	150.0	51.0	52.17981507351864	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
3_2	3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24136782.0	3.6 Gbp	0.0	150.0	52.0	45.4234037340096	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
4_1	4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24124187.0	3.6 Gbp	0.0	150.0	51.0	52.69084517251722	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
4_2	4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24124187.0	3.6 Gbp	0.0	150.0	53.0	45.411727462473976	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
5_1	5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24138716.0	3.6 Gbp	0.0	150.0	51.0	51.32528811737708	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
5_2	5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24138716.0	3.6 Gbp	0.0	150.0	53.0	43.38297971802363	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
6_1	6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24140246.0	3.6 Gbp	0.0	150.0	51.0	51.23593680516186	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
6_2	6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24140246.0	3.6 Gbp	0.0	150.0	53.0	44.9267957890591	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
7_1	7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24088818.0	3.6 Gbp	0.0	150.0	51.0	52.150824002097494	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
7_2	7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24088818.0	3.6 Gbp	0.0	150.0	52.0	43.218813672717076	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
8_1	8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24222304.0	3.6 Gbp	0.0	150.0	51.0	51.61614864344662	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
8_2	8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24222304.0	3.6 Gbp	0.0	150.0	52.0	43.18386231623596	150.0	150	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
9_1	9_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24230772.0	3.6 Gbp	0.0	150.0	51.0	52.33432460479158	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
